ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.19.10.245","elite","AS55561","NZ","2talk Limited","283","2talk Limited","4153","socks4","72","1","2024-07-29T21:37:18.401Z","99","7568","7616"
"202.159.30.1","elite","AS9340","ID","PT IndoInternet","181","N/A","443","socks4","4198","1","2024-07-29T21:37:18.395Z","98","7444","7560"
"8.219.152.222","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","243","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","1611","2","2024-07-29T21:37:18.399Z","76","5664","7493"
"110.78.149.43","elite","AS131090","TH","CAT-BB","210","N/A","4145","socks4","3801","1","2024-07-29T21:37:18.393Z","75","5610","7460"
"107.180.92.72","elite","AS398101","US","GoDaddy.com, LLC","187","GoDaddy.com, LLC","61446","socks4","1209","2","2024-07-29T21:37:18.389Z","100","901","904"
"151.84.98.89","elite","AS1267","IT","INFOSTRADA","43","WIND Telecomunicazioni S.p.A","4153","socks4","3896","2","2024-07-29T21:37:18.308Z","100","7557","7593"
"121.13.229.213","elite","AS4134","CN","Chinanet","186","Chinanet GD","61401","socks4","5200","1","2024-07-29T21:37:17.803Z","88","6667","7598"
"178.128.21.246","elite","AS14061","SG","DigitalOcean, LLC","192","Digitalocean","56108","socks4","71","1","2024-07-29T21:37:17.694Z","98","7353","7516"
"195.225.49.134","elite","AS51357","UA","INETIN","44","Freenet Ltd.","55774","socks4","4503","1","2024-07-29T21:37:17.891Z","99","7540","7596"
"200.97.76.186","elite","AS7738","BR","V tal","188","V tal","8080","socks5","3598","1","2024-07-29T21:37:17.807Z","96","7348","7617"
"203.99.116.100","elite","AS10137","ID","TELKOMSAT","1082","N/A","5678","socks4","3009","1","2024-07-29T21:36:46.491Z","88","6624","7564"
"189.50.111.105","elite","AS28668","BR","Silva & Silveira Provedor de Internet Ltda","184","Silva & Silveira Provedor de Internet Ltda","3629","socks4","3812","1","2024-07-29T21:36:46.594Z","98","7489","7611"
"46.227.38.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","82","Telemedian","1088","socks4","71","1","2024-07-29T21:36:46.591Z","100","7582","7612"
"139.59.35.1","elite","AS14061","IN","DigitalOcean, LLC","141","DigitalOcean, LLC","42675","socks4","4995","2","2024-07-29T21:36:46.596Z","63","4830","7638"
"162.240.21.140","elite","AS46606","US","Unified Layer","132","Unified Layer","30097","socks4","5091","1","2024-07-29T21:36:46.505Z","99","720","729"
"139.227.109.43","elite","AS17621","CN","China Unicom Shanghai network","243","Unicom SH","44844","socks4","68","1","2024-07-29T21:36:46.590Z","49","3722","7537"
"45.126.168.178","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","173","NET 4 U Services PVT LTD","13401","socks4","68","2","2024-07-29T21:36:46.499Z","98","7328","7495"
"185.51.92.84","elite","AS202170","PT","DSTELECOM","37","Blu, S.A.","51327","socks4","1105","1","2024-07-29T21:36:46.495Z","98","870","886"
"31.220.43.141","elite","N/A","NL","HostHatch","26","N/A","34145","socks4","537","6","2024-07-29T21:36:46.398Z","100","400","400"
"202.92.6.70","elite","AS135905","VN","INET","283","iNET Media Company Limited","10853","socks4","2284","1","2024-07-29T21:36:46.595Z","100","153","153"
